Player,Tm,salary_23_24,salary_24_25,Guaranteed,other_player_name
Sasha Vezenkov,SAC,"$6,341,464","$6,658,536","$13,000,000",vezenal01
Shaedon Sharpe,POR,"$6,313,800","$6,614,160","$6,313,800",sharpsh01
Otto Porter Jr.,TOR,"$6,300,000",,"$6,300,000",porteot01
Deni Avdija,WAS,"$6,263,188",,"$6,263,188",avdijde01
Nassir Little,POR,"$6,250,000","$6,750,000","$28,000,000",littlna01
Jevon Carter,CHI,"$6,190,476","$6,500,000","$12,690,476",carteje01
Kenrich Williams,OKC,"$6,175,000","$6,669,000","$20,007,000",willike04
Ricky Rubio,CLE,"$6,146,342","$6,439,025","$10,396,342",rubiori01
Jarace Walker,IND,"$6,059,520","$6,362,520","$12,422,040",walkeja02
Jonathan Kuminga,GSW,"$6,012,840","$7,636,307","$6,012,840",kuminjo01
Devin Vassell,SAS,"$5,887,899",,"$5,887,899",vassede01
Tyrese Haliburton,IND,"$5,808,435","$35,500,000","$211,708,435",halibty01
Dyson Daniels,NOP,"$5,784,120","$6,059,520","$5,784,120",daniedy01
JaVale McGee,DAL,"$5,734,280","$6,007,341","$11,741,621",mcgeeja01
Kira Lewis Jr.,NOP,"$5,722,116",,"$5,722,116",lewiski01
Dean Wade,CLE,"$5,709,877","$6,166,667","$11,876,544",wadede01
Aaron Nesmith,IND,"$5,634,257",,"$5,634,257",nesmiaa01
Taylor Hendricks,UTA,"$5,569,920","$5,848,680","$11,418,600",hendrita01
Cole Anthony,ORL,"$5,539,771",,"$5,539,771",anthoco01
Franz Wagner,ORL,"$5,508,720","$7,007,092","$5,508,720",wagnefr01
Garrett Temple,TOR,"$5,401,000",,"$5,401,000",templga01
Furkan Korkmaz,PHI,"$5,370,370",,"$5,370,370",korkmfu01
Jeremy Sochan,SAS,"$5,316,960","$5,570,040","$5,316,960",sochaje01
Cason Wallace,OKC,"$5,291,400","$5,555,880","$10,847,280",wallaca01
Isaiah Stewart,DET,"$5,266,713","$15,000,000","$50,266,713",stewais01
Chuma Okeke,ORL,"$5,266,713",,"$5,266,713",okekech01
Davion Mitchell,SAC,"$5,063,640","$6,451,077","$5,063,640",mitchda01
Johnny Davis,WAS,"$5,050,800","$5,291,160","$5,050,800",davisjo06
Jalen Smith,IND,"$5,043,773","$5,417,386","$5,043,773",smithja04
Jett Howard,ORL,"$5,026,800","$5,278,320","$10,305,120",howarje01
Aleksej Pokusevski,OKC,"$5,009,633",,"$5,009,633",pokusal01
Nick Richards,CHO,"$5,000,000","$5,000,000","$10,000,000",richani01
Shake Milton,MIN,"$5,000,000","$5,000,000","$5,000,000",miltosh01
Mason Plumlee,LAC,"$5,000,000",,"$5,000,000",plumlma01
Reggie Jackson,DEN,"$5,000,000","$5,250,000","$5,000,000",jacksre01
Ziaire Williams,MEM,"$4,810,200","$6,133,005","$4,810,200",willizi02
Ousmane Dieng,OKC,"$4,798,440","$5,027,040","$4,798,440",diengou01
Dereck Lively II,DAL,"$4,775,640","$5,014,560","$9,790,200",livelde01
Josh Green,DAL,"$4,765,339",,"$4,765,339",greenjo02
Jarred Vanderbilt,LAL,"$4,698,000",,"$300,000",vandeja01
Nickeil Alexander-Walker,MIN,"$4,687,500","$4,312,500","$9,000,000",alexani01
James Bouknight,CHO,"$4,570,080","$6,064,496","$4,570,080",bouknja01
Jalen Williams,OKC,"$4,558,680","$4,775,760","$4,558,680",willija06
Saddiq Bey,ATL,"$4,556,983",,"$4,556,983",beysa01
Gradey Dick,TOR,"$4,536,720","$4,763,760","$9,300,480",dickgr01
Jalen McDaniels,TOR,"$4,516,000","$4,741,800","$9,257,800",mcdanja01
Taurean Prince,LAL,"$4,516,000",,"$4,516,000",princta02
Precious Achiuwa,TOR,"$4,379,527",,"$4,379,527",achiupr01
Tyrese Maxey,PHI,"$4,343,920",,"$4,343,920",maxeyty01
Joshua Primo,SAS,"$4,341,600",,"$4,341,600",primojo01
Jalen Duren,DET,"$4,330,680","$4,536,840","$4,330,680",durenja01
Dewayne Dedmon,PHI,"$7,072,674","$2,748,674",,dedmode01
Danuel House Jr.,PHI,"$4,310,250",,"$4,310,250",houseda01
Jordan Hawkins,NOP,"$4,310,160","$4,525,680","$8,835,840",hawkijo01
Zeke Nnaji,DEN,"$4,306,281",,"$4,306,281",nnajize01
Immanuel Quickley,NYK,"$4,171,548",,"$4,171,548",quickim01
Chris Duarte,SAC,"$4,124,400","$5,893,768","$4,124,400",duartch01
Ochai Agbaji,UTA,"$4,114,200","$4,310,280","$4,114,200",agbajoc01
Kobe Bufkin,ATL,"$4,094,280","$4,299,000","$8,393,280",bufkiko01
Payton Pritchard,BOS,"$4,037,277",,"$4,037,277",pritcpa01
Seth Curry,DAL,"$4,000,000","$4,000,000","$8,000,000",curryse01
Dwight Powell,DAL,"$4,000,000","$4,000,000","$8,000,000",poweldw01
Troy Brown Jr.,MIN,"$4,000,000","$4,000,000","$4,000,000",browntr01
Moses Moody,GSW,"$3,918,480","$5,803,269","$3,918,480",moodymo01
Mark Williams,CHO,"$3,908,160","$4,094,280","$3,908,160",willima07
Jaden McDaniels,MIN,"$3,901,399",,"$3,901,399",mcdanja02
Keyonte George,UTA,"$3,889,800","$4,084,200","$7,974,000",georgke01
Malachi Flynn,TOR,"$3,873,025",,"$3,873,025",flynnma01
Desmond Bane,MEM,"$3,845,083","$34,005,250","$201,075,533",banede01
Russell Westbrook,LAC,"$3,835,738","$4,027,525","$7,863,263",westbru01
Kevin Love,MIA,"$3,835,738","$4,027,525","$3,835,738",loveke01
Corey Kispert,WAS,"$3,722,040","$5,705,887","$3,722,040",kispeco01
AJ Griffin,ATL,"$3,712,920","$3,889,920","$3,712,920",griffaj01
Jalen Hood-Schifino,LAL,"$3,695,040","$3,879,840","$7,574,880",hoodsja01
Amir Coffey,LAC,"$3,666,667","$3,938,271","$7,604,938",coffeam01
Alperen Şengün,HOU,"$3,536,280","$5,424,654","$3,536,280",sengual01
Tari Eason,HOU,"$3,527,160","$3,695,160","$3,527,160",easonta01
Jaime Jaquez Jr.,MIA,"$3,510,600","$3,685,800","$7,196,400",jaqueja01
Mike Muscala,WAS,"$3,500,000",,"$3,500,000",muscami01
Andre Drummond,CHI,"$3,360,000",,"$3,360,000",drumman01
Derrick Jones Jr.,CHI,"$3,360,000",,,jonesde02
Trey Murphy III,NOP,"$3,359,280","$5,159,854","$3,359,280",murphtr02
Brandin Podziemski,GSW,"$3,352,440","$3,519,960","$6,872,400",podzibr01
Dalen Terry,CHI,"$3,350,760","$3,510,480","$3,350,760",terryda01
Cam Whitmore,HOU,"$3,218,160","$3,379,080","$6,597,240",whitmca01
Jake LaRavia,MEM,"$3,199,920","$3,352,680","$3,199,920",laravja01
Derrick Rose,MEM,"$3,196,448","$3,356,271","$6,552,719",rosede01
Eric Gordon,PHO,"$3,196,448","$3,356,271","$3,196,448",gordoer01
Tre Mann,OKC,"$3,191,400","$4,908,373","$3,191,400",manntr01
Noah Clowney,BRK,"$3,089,520","$3,244,080","$6,333,600",clownno01
Malaki Branham,SAS,"$3,071,880","$3,217,920","$3,071,880",branhma01
Kai Jones,CHO,"$3,047,880","$4,693,735","$3,047,880",joneska01
Simone Fontecchio,UTA,"$3,044,872",,"$3,044,872",fontesi01
Julian Champagnie,SAS,"$3,000,000","$3,000,000","$3,000,000",champju02
Jordan Nwora,IND,"$3,000,000",,"$3,000,000",nworajo01
Dante Exum,DAL,"$3,000,000","$3,150,000","$3,000,000",exumda01
Kevin Knox,POR,"$3,000,000",,,knoxke01
Dariq Whitehead,BRK,"$2,966,040","$3,114,240","$6,080,280",whiteda01
Christian Braun,DEN,"$2,949,120","$3,089,640","$2,949,120",braunch01
Jalen Johnson,ATL,"$2,925,360","$4,510,905","$2,925,360",johnsja05
Josh Richardson,MIA,"$2,891,467","$3,051,153","$2,891,467",richajo01
Kris Murray,POR,"$2,847,480","$2,990,040","$5,837,520",murrakr01
Andrew Nicholson,POR,"$2,844,430",,"$2,844,430",nichoan01
Walker Kessler,UTA,"$2,831,160","$2,965,920","$2,831,160",kesslwa01
Josh Okogie,PHO,"$2,815,937","$2,956,734","$2,815,937",okogijo01
Keon Johnson,POR,"$2,808,720","$4,474,291","$2,808,720",johnske07
Omer Yurtseven,UTA,"$2,800,000","$2,660,000","$5,460,000",yurtsom01
Dewayne Dedmon,DET,"$7,072,674","$2,748,674","$5,497,348",dedmode01
Olivier-Maxence Prosper,DAL,"$2,733,720","$2,870,400","$5,604,120",prospol01
David Roddy,MEM,"$2,718,240","$2,847,240","$2,718,240",roddyda01
Isaiah Jackson,IND,"$2,696,280","$4,435,381","$2,696,280",jacksis01
Marcus Sasser,DET,"$2,624,040","$2,755,080","$5,379,120",sassema01
MarJon Beauchamp,MIL,"$2,609,400","$2,733,720","$2,609,400",beaucma01
Charles Bassey,SAS,"$2,600,000","$2,500,000","$2,600,000",bassech01
Usman Garuba,OKC,"$2,588,400",,"$2,588,400",garubus01
Damian Jones,CLE,"$2,586,665",,"$2,586,665",jonesda03
Kris Dunn,UTA,"$2,586,665",,,dunnkr01
Bruno Fernando,ATL,"$2,581,522","$2,717,391",,fernabr01
Willy Hernangómez,NOP,"$2,559,942",,,hernawi01
Ben Sheppard,IND,"$2,537,160","$2,663,880","$5,201,040",sheppbe01
Thomas Bryant,MIA,"$2,528,233","$2,845,342","$5,373,575",bryanth01
Torrey Craig,CHI,"$2,528,233","$2,845,342","$5,373,575",craigto01
Damion Lee,PHO,"$2,528,233","$2,845,342","$2,528,233",leeda03
Blake Wesley,SAS,"$2,504,640","$2,624,280","$2,504,640",weslebl01
Josh Christopher,MEM,"$2,485,200","$4,346,615","$2,485,200",chrisjo01
Nick Smith Jr.,CHO,"$2,463,960","$2,587,200","$5,051,160",smithni01
Brice Sensabaugh,UTA,"$2,448,600","$2,571,480","$5,020,080",sensabr01
Ty Jerome,CLE,"$2,439,025","$2,560,975","$5,000,000",jeromty01
Julian Strawther,DEN,"$2,431,080","$2,552,520","$4,983,600",strawju01
Wendell Moore Jr.,MIN,"$2,421,720","$2,537,040","$2,421,720",moorewe01
Kobe Brown,LAC,"$2,413,320","$2,533,920","$4,947,240",brownko01
Luke Kornet,BOS,"$2,413,304",,,kornelu01
John Konchar,MEM,"$2,400,000","$6,165,000","$20,895,000",konchjo01
Quentin Grimes,NYK,"$2,385,720","$4,296,682","$2,385,720",grimequ01
Nikola Jović,MIA,"$2,352,000","$2,464,200","$2,352,000",jovicni01
Drew Eubanks,PHO,"$2,346,614","$2,654,644","$5,001,258",eubandr01
Keita Bates-Diop,PHO,"$2,346,614","$2,654,644","$5,001,258",bateske01
Yuta Watanabe,PHO,"$2,346,614","$2,654,644","$2,346,614",watanyu01
Patrick Baldwin Jr.,WAS,"$2,337,720","$2,448,840","$2,337,720",baldwpa01
TyTy Washington Jr.,OKC,"$2,320,440",,"$2,320,440",washity02
Jordan McLaughlin,MIN,"$2,320,000",,,mclaujo01
Bones Hyland,LAC,"$2,306,400","$4,158,439","$2,306,400",hylanbo01
Peyton Watson,DEN,"$2,303,520","$2,413,560","$2,303,520",watsope01
Cam Thomas,BRK,"$2,240,160","$4,041,249",,thomaca02
Vlatko Čančar,DEN,"$2,234,359","$2,346,606","$2,234,359",cancavl01
Jaden Springer,PHI,"$2,226,240","$4,018,363","$2,226,240",sprinja01
Day'Ron Sharpe,BRK,"$2,210,040","$3,989,122",,sharpda01
Santi Aldama,MEM,"$2,194,200","$3,960,531","$2,194,200",aldamsa01
Jaxson Hayes,LAL,"$2,165,000","$2,463,946","$2,165,000",hayesja02
Cam Reddish,LAL,"$2,165,000","$2,463,946","$2,165,000",reddica01
Oshae Brissett,BOS,"$2,165,000","$2,463,946","$2,165,000",brissos01
Andrew Nembhard,IND,"$2,131,905","$2,019,699","$4,151,604",nembhan01
Goga Bitadze,ORL,"$2,066,585",,"$2,066,585",bitadgo01
Luka Šamanić,UTA,"$2,066,585",,,samanlu01
Isaiah Roby,NYK,"$2,066,585",,,robyis01
DaQuan Jeffries,NYK,"$2,066,585",,,jeffrda01
Dalano Banton,BOS,"$2,019,706","$2,196,970","$4,216,676",bantoda01
Colby Jones,SAC,"$2,019,706","$2,120,693","$4,140,399",jonesco02
Jeff Dowtin,TOR,"$2,019,706",,"$2,019,706",dowtije01
Alex Len,SAC,"$2,019,706",,"$2,019,706",lenal01
Bol Bol,PHO,"$2,019,706",,"$2,019,706",bolbo01
Chimezie Metu,PHO,"$2,019,706",,"$2,019,706",metuch01
Montrezl Harrell,PHI,"$2,019,706",,"$2,019,706",harremo01
Patrick Beverley,PHI,"$2,019,706",,"$2,019,706",beverpa01
Mo Bamba,PHI,"$2,019,706",,"$2,019,706",bambamo01
Cody Zeller,NOP,"$2,019,706",,"$2,019,706",zelleco01
Jae Crowder,MIL,"$2,019,706",,"$2,019,706",crowdja01
Malik Beasley,MIL,"$2,019,706",,"$2,019,706",beaslma01
Robin Lopez,MIL,"$2,019,706",,"$2,019,706",lopezro01
Dario Šarić,GSW,"$2,019,706",,"$2,019,706",saricda01
Cory Joseph,GSW,"$2,019,706",,"$2,019,706",josepco01
DeAndre Jordan,DEN,"$2,019,706",,"$2,019,706",jordade01
Justin Holiday,DEN,"$2,019,706",,"$2,019,706",holidju01
Darius Bazley,BRK,"$2,019,706",,"$2,019,706",bazleda01
Lonnie Walker IV,BRK,"$2,019,706",,"$2,019,706",walkelo01
Dennis Smith Jr.,BRK,"$2,019,706",,"$2,019,706",smithde03
Wesley Matthews,ATL,"$2,019,706",,"$2,019,706",matthwe02
Aaron Holiday,HOU,"$2,019,706",,,holidaa01
Caleb Houstan,ORL,"$2,000,000","$2,019,699","$2,000,000",houstca01
Jaylin Williams,OKC,"$2,000,000","$2,019,699","$2,000,000",willija07
Garrison Mathews,ATL,"$2,000,000","$2,230,253",,mathega01
Anthony Gill,WAS,"$1,997,238",,"$1,997,238",gillan01
Isaiah Joe,OKC,"$1,997,238","$2,164,993",,joeis01
Sam Merrill,CLE,"$1,997,238","$2,164,993",,merrisa01
Naji Marshall,NOP,"$1,930,681",,"$1,930,681",marshna01
Xavier Tillman Sr.,MEM,"$1,930,681",,"$1,930,681",tillmxa01
Kenyon Martin Jr.,LAC,"$1,930,681",,"$1,930,681",martike04
Sam Hauser,BOS,"$1,927,896","$2,092,344","$4,020,240",hausesa01
Kessler Edwards,SAC,"$1,927,896",,"$1,927,896",edwarke02
Ish Wainright,PHO,"$1,927,896",,"$1,927,896",wainris01
Jericho Sims,NYK,"$1,927,896","$2,092,344","$600,000",simsje01
Jordan Goodwin,PHO,"$1,927,896","$2,092,344",,goodwjo01
Carlik Jones,CHI,"$1,927,896","$2,092,344",,jonesca03
Haywood Highsmith,MIA,"$1,902,137",,,highsha01
A.J. Green,MIL,"$1,901,769","$2,120,693","$1,901,769",greenaj01
Jeremiah Robinson-Earl,OKC,"$1,900,000","$1,988,598",,robinje02
Trendon Watford,POR,"$1,836,096","$1,988,598","$3,824,694",watfotr01
Miles McBride,NYK,"$1,836,096",,"$1,836,096",mcbrimi01
Isaiah Todd,MEM,"$1,836,096","$1,988,598","$1,836,096",toddis01
Brandon Boston Jr.,LAC,"$1,836,096",,"$1,836,096",bostobr01
Isaiah Livers,DET,"$1,836,096",,"$1,836,096",liveris01
Aaron Wiggins,OKC,"$1,836,096","$1,988,598",,wiggiaa01
Jose Alvarado,NOP,"$1,836,096","$1,988,598",,alvarjo01
Jason Preston,LAC,"$1,836,096",,,prestja01
JT Thor,CHO,"$1,836,096","$1,988,598",,thorjt01
Jack White,OKC,"$1,801,769","$2,120,693","$3,922,462",whiteja03
E.J. Liddell,NOP,"$1,801,769","$2,120,693","$3,922,462",liddeej01
Orlando Robinson,MIA,"$1,801,769","$2,120,693","$1,801,769",robinor01
Kennedy Chandler,MEM,"$1,719,864","$2,019,699","$3,739,563",chandke01
Jaden Hardy,DAL,"$1,719,864","$2,019,699","$2,119,864",hardyja02
Xavier Cooks,WAS,"$1,719,864","$2,019,699","$1,719,864",cooksxa01
Ryan Rollins,WAS,"$1,719,864","$2,019,699","$1,719,864",rolliry01
Christian Koloko,TOR,"$1,719,864","$2,019,699","$1,719,864",kolokch01
Josh Minott,MIN,"$1,719,864","$2,019,699","$1,719,864",minotjo01
Kenneth Lofton Jr.,MEM,"$1,719,864","$2,019,699","$1,719,864",loftoke01
Max Christie,LAL,"$1,719,864",,"$1,719,864",chrisma02
Bryce McGowens,CHO,"$1,719,864","$2,019,699","$1,719,864",mcgowbr01
Jabari Walker,POR,"$1,719,864","$2,019,699","$400,000",walkeja01
Julian Phillips,CHI,"$1,600,000","$1,891,857","$5,713,534",phillju01
Eric Bledsoe,POR,"$1,300,000","$1,300,000","$2,600,000",bledser01
Jordan Walsh,BOS,"$1,119,563","$1,891,857","$3,211,420",walshjo01
Rayan Rupert,POR,"$1,119,563","$1,891,857","$3,011,420",ruperra01
Mouhamed Gueye,ATL,"$1,119,563","$1,891,857","$3,011,420",gueyemo02
Nik Stauskas,IND,"$702,311","$702,310","$1,404,621",stausni01
Juwan Morgan,IND,"$576,230","$576,229","$1,152,459",morgaju01
Malik Fitts,IND,"$555,217","$555,216","$1,110,433",fittsma01
Lamar Stevens,SAS,"$400,000",,"$400,000",stevela01
Nerlens Noel,SAC,"$300,000",,"$300,000",noelne01
Didi Louzada,POR,"$268,032","$268,032","$1,608,192",louzama01
Neemias Queta,SAC,"$250,000",,"$250,000",quetane01
Demetrius Jackson,BOS,"$92,857",,"$92,857",jacksde01